Stable ID,Gene
ENSG00000090861,AARS1
ENSG00000119328,ABITRAM
ENSG00000014257,ACP3
ENSG00000116863,ADPRS
ENSG00000185100,ADSS1
ENSG00000035687,ADSS2
ENSG00000103254,ANTKMT
ENSG00000148120,AOPEP
ENSG00000150756,ATPSCKMT
ENSG00000166780,BMERB1
ENSG00000189325,BNIP5
ENSG00000110619,CARS1
ENSG00000134812,CBLIF
ENSG00000174015,CBY2
ENSG00000142871,CCN1
ENSG00000118523,CCN2
ENSG00000136999,CCN3
ENSG00000104415,CCN4
ENSG00000064205,CCN5
ENSG00000112761,CCN6
ENSG00000113163,CERT1
ENSG00000160226,CFAP410
ENSG00000112144,CILK1
ENSG00000205057,CLLU1-AS1
ENSG00000256053,COA8
ENSG00000109265,CRACD
ENSG00000197872,CYRIA
ENSG00000153310,CYRIB
ENSG00000162384,CZIB
ENSG00000115866,DARS1
ENSG00000119979,DENND10
ENSG00000257093,DENND11
ENSG00000166444,DENND2B
ENSG00000154511,DIPK1A
ENSG00000165716,DIPK1B
ENSG00000187773,DIPK1C
ENSG00000181744,DIPK2A
ENSG00000125375,DMAC2L
ENSG00000183784,DOCK8-AS1
ENSG00000083097,DOP1A
ENSG00000142197,DOP1B
ENSG00000119147,ECRG4
ENSG00000010165,EEF1AKNMT
ENSG00000173557,FAM166C
ENSG00000228300,FAM174C
ENSG00000157353,FCSK
ENSG00000155749,FLACC1
ENSG00000106105,GARS1
ENSG00000144649,GASK1A
ENSG00000164125,GASK1B
ENSG00000182093,GET1
ENSG00000198356,GET3
ENSG00000189060,H1-0
ENSG00000124610,H1-1
ENSG00000184897,H1-10
ENSG00000187837,H1-2
ENSG00000124575,H1-3
ENSG00000168298,H1-4
ENSG00000184357,H1-5
ENSG00000187475,H1-6
ENSG00000187166,H1-7
ENSG00000178804,H1-8
ENSG00000164508,H2AC1
ENSG00000196787,H2AC11
ENSG00000274997,H2AC12
ENSG00000275221,H2AC15
ENSG00000276903,H2AC16
ENSG00000278677,H2AC17
ENSG00000203812,H2AC18
ENSG00000184260,H2AC20
ENSG00000184270,H2AC21
ENSG00000278463,H2AC4
ENSG00000180573,H2AC6
ENSG00000196866,H2AC7
ENSG00000277075,H2AC8
ENSG00000246705,H2AJ
ENSG00000181218,H2AW
ENSG00000188486,H2AX
ENSG00000164032,H2AZ1
ENSG00000105968,H2AZ2
ENSG00000146047,H2BC1
ENSG00000278588,H2BC10
ENSG00000124635,H2BC11
ENSG00000197903,H2BC12
ENSG00000185130,H2BC13
ENSG00000273703,H2BC14
ENSG00000233822,H2BC15
ENSG00000274641,H2BC17
ENSG00000203814,H2BC18
ENSG00000184678,H2BC21
ENSG00000276410,H2BC3
ENSG00000180596,H2BC4
ENSG00000158373,H2BC5
ENSG00000274290,H2BC6
ENSG00000277224,H2BC7
ENSG00000273802,H2BC8
ENSG00000275713,H2BC9
ENSG00000196890,H2BU1
ENSG00000132475,H3-3B
ENSG00000168148,H3-4
ENSG00000188375,H3-5
ENSG00000275714,H3C1
ENSG00000278828,H3C10
ENSG00000275379,H3C11
ENSG00000197153,H3C12
ENSG00000183598,H3C13
ENSG00000203852,H3C15
ENSG00000286522,H3C2
ENSG00000287080,H3C3
ENSG00000197409,H3C4
ENSG00000274750,H3C6
ENSG00000277775,H3C7
ENSG00000273983,H3C8
ENSG00000197837,H4-16
ENSG00000278637,H4C1
ENSG00000273542,H4C12
ENSG00000275126,H4C13
ENSG00000278705,H4C2
ENSG00000197061,H4C3
ENSG00000277157,H4C4
ENSG00000276966,H4C5
ENSG00000274618,H4C6
ENSG00000275663,H4C7
ENSG00000158406,H4C8
ENSG00000276180,H4C9
ENSG00000170445,HARS1
ENSG00000169660,HEXD
ENSG00000125319,HROB
ENSG00000196305,IARS1
ENSG00000166352,IFTAP
ENSG00000196821,ILRUN
ENSG00000188916,INSYN2A
ENSG00000180347,ITPRID1
ENSG00000138434,ITPRID2
ENSG00000065427,KARS1
ENSG00000198954,KIFBP
ENSG00000133706,LARS1
ENSG00000212719,LINC02693
ENSG00000175779,LINC02694
ENSG00000203782,LORICRIN
ENSG00000162981,LRATD1
ENSG00000168672,LRATD2
ENSG00000172478,MAB21L4
ENSG00000181751,MACIR
ENSG00000113648,MACROH2A1
ENSG00000099284,MACROH2A2
ENSG00000146826,MAP11
ENSG00000166986,MARS1
ENSG00000140950,MEAK7
ENSG00000173436,MICOS10
ENSG00000174917,MICOS13
ENSG00000156030,MIDEAS
ENSG00000169330,MINAR1
ENSG00000186367,MINAR2
ENSG00000204682,MIR1915HG
ENSG00000146085,MMUT
ENSG00000130349,MTRES1
ENSG00000132613,MTSS2
ENSG00000134440,NARS1
ENSG00000135842,NIBAN1
ENSG00000136830,NIBAN2
ENSG00000167483,NIBAN3
ENSG00000136243,NUP42
ENSG00000152193,OBI1
ENSG00000065600,PACC1
ENSG00000165152,PGAP4
ENSG00000129925,PGAP6
ENSG00000127252,PLAAT1
ENSG00000133328,PLAAT2
ENSG00000176485,PLAAT3
ENSG00000133321,PLAAT4
ENSG00000168004,PLAAT5
ENSG00000134901,POGLUT2
ENSG00000178202,POGLUT3
ENSG00000100890,PRORP
ENSG00000178055,PRSS42P
ENSG00000188086,PRSS45P
ENSG00000122378,PRXL2A
ENSG00000158122,PRXL2C
ENSG00000172775,PSME3IP1
ENSG00000113643,RARS1
ENSG00000174718,RESF1
ENSG00000116747,RO60
ENSG00000031698,SARS1
ENSG00000130813,SHFL
ENSG00000165181,SHOC1
ENSG00000138463,SLC49A4
ENSG00000040487,SLC66A1
ENSG00000174899,SLC66A1L
ENSG00000122490,SLC66A2
ENSG00000162976,SLC66A3
ENSG00000204387,SNHG32
ENSG00000184584,STING1
ENSG00000183662,TAFA1
ENSG00000198673,TAFA2
ENSG00000184599,TAFA3
ENSG00000163377,TAFA4
ENSG00000219438,TAFA5
ENSG00000113407,TARS1
ENSG00000185418,TARS3
ENSG00000163946,TASOR
ENSG00000108021,TASOR2
ENSG00000163424,TEX55
ENSG00000167695,TLCD3A
ENSG00000149926,TLCD3B
ENSG00000152078,TLCD4
ENSG00000181264,TLCD5
ENSG00000104964,TLE5
ENSG00000204296,TSBP1
ENSG00000204394,VARS1
ENSG00000140105,WARS1
ENSG00000134684,YARS1
ENSG00000181666,ZNF875
ENSG00000173465,ZNRD2
